Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,1
a4,1,0
a5,0,0
a6,1,1
a9,1,0
a10,1,1
a13,1,1
a14,1,0
a15,0,0
a16,0,1
a17,1,0
a18,1,0
a19,0,0
a20,1,1
a22,0,0
a23,1,1
a24,1,0
a28,0,1
a29,0,1
a31,0,1
a32,1,0
a33,1,1
a34,1,1
a35,0,1
a36,0,0
a37,1,0
a41,1,0
a43,0,1
a45,0,1
a47,0,1
a48,0,0
a51,1,0
a52,1,1
a53,1,1
a57,0,1
a59,1,1
a60,0,0
a63,0,0
a64,0,1
a65,0,0
a66,0,1
a69,0,0
a70,0,1
a71,0,0
a72,1,0
a73,0,0
a75,0,1
a76,0,1
a78,0,1
a81,0,1
a82,1,1
a86,0,0
a88,0,0
a89,1,1
a90,1,0
a91,0,1
a92,0,1
a95,1,1
a97,0,0
a98,1,0
a99,1,1
a100,1,1
a101,0,1
a102,0,0
a103,0,1
a105,1,0
a106,0,1
a107,0,1
a110,0,1
a113,1,1
a114,0,1
a115,0,0
a116,1,1
a118,0,0
a119,1,1
a2,0,0
a3,1,0
a7,1,1
a11,1,0
a12,1,1
a21,1,1
a25,1,1
a27,0,1
a30,0,1
a38,1,1
a39,0,1
a40,0,1
a46,0,1
a50,1,1
a54,0,1
a55,0,1
a56,0,1
a58,0,0
a61,0,1
a68,0,1
a74,0,1
a77,0,1
a79,1,1
a83,1,0
a84,0,1
a87,1,0
a111,0,1
a120,1,0
a0,1,1
a42,0,1
a44,0,1
a49,1,1
a62,1,1
a67,1,0
a85,0,0
a93,1,1
a96,0,0
a104,0,0
a109,0,1
a8,1,0
a26,0,1
a80,1,0
a117,0,1
a112,0,1
a108,0,0
a94,0,1
