Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a2,1,0
a3,1,0
a4,1,1
a5,1,1
a8,1,0
a11,1,0
a12,1,0
a13,1,0
a14,1,1
a16,1,1
a20,0,0
a23,1,0
a25,1,0
a26,0,0
a29,1,0
a30,1,1
a33,1,1
a34,1,1
a36,1,1
a40,1,0
a42,1,1
a43,1,1
a44,1,1
a45,1,0
a48,1,1
a51,0,0
a54,1,0
a55,1,1
a56,1,1
a60,1,1
a62,1,0
a64,1,1
a66,1,1
a67,1,0
a68,1,1
a69,1,1
a1,1,0
a6,1,1
a9,1,1
a10,1,0
a15,1,1
a17,0,1
a21,1,1
a22,1,0
a24,1,0
a28,1,1
a35,1,1
a38,1,0
a46,1,1
a52,0,1
a53,1,1
a61,1,1
a27,1,0
a31,1,0
a32,1,1
a39,1,0
a49,0,1
a50,1,1
a58,1,1
a65,1,1
a19,1,0
a41,1,0
a47,1,1
a59,1,1
a18,1,1
a37,1,1
a57,1,0
a70,1,1
a7,1,1
a63,1,0
