argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank
a0,55,54,2727,2693,0.436,0.22,0.216,0.5617977528089888,0.0036025950194444344,49.870370370370374,0.004188639498312562
a1,45,55,2212,2748,0.4,0.18,0.22,0.5494505494505495,0.0032058629988261818,49.96363636363636,0.003572470469147459
a2,58,40,2859,1911,0.392,0.232,0.16,0.5656108597285068,0.0028520388056388294,47.775,0.00449983412966376
a3,62,52,2979,2502,0.456,0.248,0.20800000000000002,0.5707762557077626,0.003993895950787537,48.11538461538461,0.004579183085034768
a4,49,55,2425,2754,0.41600000000000004,0.196,0.22,0.5543237250554324,0.0035227301839148607,50.07272727272727,0.003923190465309747
a5,70,45,3451,2179,0.46,0.28,0.18,0.5813953488372093,0.004209019996171701,48.422222222222224,0.00542337921050387
a6,48,43,2360,2169,0.364,0.192,0.17200000000000001,0.5530973451327433,0.002668619550650083,50.44186046511628,0.0038218418922779155
a7,51,41,2526,2010,0.368,0.20400000000000001,0.164,0.5567928730512249,0.0028334378057512087,49.02439024390244,0.00411721212824906
a8,54,38,2696,1973,0.368,0.216,0.152,0.5605381165919282,0.002770519351380257,51.921052631578945,0.004309608265118416
a9,51,72,2427,3567,0.492,0.20400000000000001,0.28800000000000003,0.5567928730512249,0.0046478231865229825,49.541666666666664,0.0038773809326361035
a10,52,45,2649,2211,0.388,0.20800000000000002,0.18,0.5580357142857143,0.0030328450329717223,49.13333333333333,0.004189037331838569
a11,53,42,2585,2043,0.38,0.212,0.168,0.5592841163310962,0.0027143942690256643,48.642857142857146,0.0041435230760184585
a12,48,46,2311,2321,0.376,0.192,0.184,0.5530973451327433,0.0027809798237380967,50.45652173913044,0.0037148170048823597
a13,50,49,2528,2435,0.396,0.2,0.196,0.5555555555555556,0.0031823723175566404,49.69387755102041,0.003938808534225969
a14,47,44,2205,2136,0.364,0.188,0.176,0.5518763796909493,0.0025277670720232196,48.54545454545455,0.003548387955132181
a15,51,57,2551,2812,0.432,0.20400000000000001,0.228,0.5567928730512249,0.003737147723902415,49.333333333333336,0.004052164188994763
a16,46,50,2319,2518,0.384,0.184,0.2,0.5506607929515418,0.0030160147930826833,50.36,0.0037177612418590558
a17,55,47,2758,2359,0.40800000000000003,0.22,0.188,0.5617977528089888,0.003230147929567902,50.191489361702125,0.004258848375931938
a18,55,40,2711,1902,0.38,0.22,0.16,0.5617977528089888,0.002843558351178927,47.55,0.004225699349174467
a19,49,52,2400,2635,0.404,0.196,0.20800000000000002,0.5543237250554324,0.003374970996475214,50.67307692307692,0.003973002345602344
a20,39,57,1933,2869,0.384,0.156,0.228,0.5422993492407809,0.002978363924089484,50.333333333333336,0.0032522193134225125
a21,60,52,2977,2604,0.448,0.24,0.20800000000000002,0.5681818181818182,0.003974932515805472,50.07692307692308,0.004672808819798226
a22,54,45,2600,2316,0.396,0.216,0.18,0.5605381165919282,0.003267742642482469,51.46666666666667,0.004201614011968885
a23,47,53,2367,2626,0.4,0.188,0.212,0.5518763796909493,0.003238645610550811,49.54716981132076,0.003856053460677899
a24,48,42,2327,2083,0.36,0.192,0.168,0.5530973451327433,0.002605185641582002,49.595238095238095,0.0036811280872367895
a25,55,56,2755,2855,0.444,0.22,0.224,0.5617977528089888,0.004165924157669468,50.982142857142854,0.00446361104905564
a26,43,60,2168,2935,0.41200000000000003,0.17200000000000001,0.24,0.5470459518599562,0.003408917350569408,48.916666666666664,0.003605390818005471
a27,50,49,2433,2450,0.396,0.2,0.196,0.5555555555555556,0.0030387678129235084,50.0,0.003842784216632804
a28,56,49,2792,2394,0.42,0.224,0.196,0.5630630630630631,0.0034457993079633773,48.857142857142854,0.004333516021696465
a29,47,45,2383,2210,0.368,0.188,0.18,0.5518763796909493,0.0027098404513936623,49.111111111111114,0.0038003159677411297
a30,42,44,2119,2116,0.34400000000000003,0.168,0.176,0.5458515283842795,0.0022759663139887286,48.09090909090909,0.003397038634224923
a31,46,56,2248,2733,0.40800000000000003,0.184,0.224,0.5506607929515418,0.003105766070777821,48.80357142857143,0.0035702111530737366
a32,51,49,2458,2491,0.4,0.20400000000000001,0.196,0.5567928730512249,0.003291485551181923,50.83673469387755,0.003988950410652448
a33,65,33,3259,1621,0.392,0.26,0.132,0.5747126436781609,0.002813574581758773,49.121212121212125,0.005062596851432
a34,52,52,2639,2579,0.41600000000000004,0.20800000000000002,0.20800000000000002,0.5580357142857143,0.003525528396280756,49.59615384615385,0.004195272442797377
a35,41,60,2024,3041,0.404,0.164,0.24,0.5446623093681917,0.0033121894718690565,50.68333333333333,0.003389059194575322
a36,60,43,3010,2116,0.41200000000000003,0.24,0.17200000000000001,0.5681818181818182,0.003393761478376963,49.2093023255814,0.004709969158118249
a37,51,52,2574,2523,0.41200000000000003,0.20400000000000001,0.20800000000000002,0.5567928730512249,0.0031977079586466943,48.51923076923077,0.0040046237829256615
a38,44,59,2212,2922,0.41200000000000003,0.176,0.23600000000000002,0.5482456140350878,0.003426542350006486,49.52542372881356,0.0036857401707200378
a39,55,50,2765,2458,0.42,0.22,0.2,0.5617977528089888,0.003541272513142035,49.16,0.004376116208877028
a40,57,50,2803,2494,0.428,0.228,0.2,0.5643340857787811,0.003506130486780513,49.88,0.0043428714641098026
a41,51,58,2534,2822,0.436,0.20400000000000001,0.232,0.5567928730512249,0.0037381651387130895,48.6551724137931,0.003956653313200546
a42,50,51,2528,2509,0.404,0.2,0.20400000000000001,0.5555555555555556,0.0034225671491741306,49.19607843137255,0.004092041740550186
