argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank
a0,4,4,17,17,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.25486749793656405,0.017532271840032372,4.25,0.004854146289160269
a1,5,2,22,9,0.026515151515151516,0.01893939393939394,0.007575757575757576,0.2541258854304441,0.006489962031824917,4.5,0.005571110712100445
a2,5,3,18,10,0.030303030303030304,0.01893939393939394,0.011363636363636364,0.25363387016339584,0.009488649956419926,3.3333333333333335,0.005120108045276557
a3,4,4,17,14,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.23372327197037276,0.01561699165286886,3.5,0.0062663892750996035
a4,7,4,28,12,0.04166666666666667,0.026515151515151516,0.015151515151515152,0.27320520112490915,0.01610808560754932,3.0,0.007138066026099199
a5,3,6,13,20,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.23186175918476803,0.014492273488595424,3.3333333333333335,0.004781695377443374
a6,5,1,19,2,0.022727272727272728,0.01893939393939394,0.003787878787878788,0.24125578994363525,0.002412041388666,2.0,0.00300662685795348
a7,5,4,20,15,0.03409090909090909,0.01893939393939394,0.015151515151515152,0.24601294636505905,0.016760098077629793,3.75,0.004869370021466837
a8,1,8,4,29,0.03409090909090909,0.003787878787878788,0.030303030303030304,0.18917241002078547,0.005654176343180655,3.625,0.0011594624180274902
a9,3,6,9,27,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.21249293420826268,0.015076009082589709,4.5,0.002003368039297508
a10,5,1,19,4,0.022727272727272728,0.01893939393939394,0.003787878787878788,0.24834482263392216,0.004356612673022974,4.0,0.005677071988192516
a11,6,2,14,9,0.030303030303030304,0.022727272727272728,0.007575757575757576,0.2296264573871936,0.0055882855865590185,4.5,0.0021013581948963155
a12,3,6,7,18,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.2118058107346709,0.010310542520350439,3.0,0.0014946495084741354
a13,1,5,3,17,0.022727272727272728,0.003787878787878788,0.01893939393939394,0.17572353311789932,0.0021594094695559186,3.4,0.0008555352223262558
a14,4,2,12,10,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.2284252727801115,0.009221165691398104,5.0,0.0036635510244871433
a15,4,3,17,7,0.026515151515151516,0.015151515151515152,0.011363636363636364,0.24192408853073674,0.007058506548591642,2.3333333333333335,0.00520099771209682
a16,3,4,10,21,0.026515151515151516,0.011363636363636364,0.015151515151515152,0.22723658966070068,0.011126338012008186,5.25,0.002801804708238643
a17,6,2,24,9,0.030303030303030304,0.022727272727272728,0.007575757575757576,0.26599369327795724,0.013261482749311812,4.5,0.006879475972238487
a18,4,5,18,13,0.03409090909090909,0.015151515151515152,0.01893939393939394,0.2464758117392172,0.011566525814215481,2.6,0.005105282386477204
a19,8,1,34,2,0.03409090909090909,0.030303030303030304,0.003787878787878788,0.28142189890310193,0.0029717004408069047,2.0,0.00727874474060867
a20,6,3,26,10,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.26599369327795724,0.015287359120391893,3.3333333333333335,0.00858216517514158
a21,3,4,12,15,0.026515151515151516,0.011363636363636364,0.015151515151515152,0.21197717465921348,0.00751337362783676,3.75,0.0018999242872391703
a22,4,4,15,11,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.24015012637835736,0.013914831000252708,2.75,0.0031427871060405767
a23,3,7,6,18,0.03787878787878788,0.011363636363636364,0.026515151515151516,0.19985033400365207,0.006866163646453411,2.5714285714285716,0.0014119455388327193
a24,3,6,13,26,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.23372327197037276,0.017863542677082206,4.333333333333333,0.0034569635175552248
a25,3,4,11,15,0.026515151515151516,0.011363636363636364,0.015151515151515152,0.23124782690096016,0.01017375345571194,3.75,0.002739426172362392
a26,6,2,23,7,0.030303030303030304,0.022727272727272728,0.007575757575757576,0.26358529967684896,0.008938938421201637,3.5,0.005599648725081795
a27,7,1,30,4,0.030303030303030304,0.026515151515151516,0.003787878787878788,0.27608407574161,0.011378589110995605,4.0,0.0056478348080137
a28,3,3,10,10,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.22451052945911557,0.007935033472366237,3.3333333333333335,0.002518403079985052
