argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a0,3,5,10,17,0.028169014084507,0.0105633802816901,0.0176056338028169,0.2131005209338221,0.0069937621060967,3.4,0.001684948282991,4.0
a1,5,6,15,28,0.0387323943661971,0.0176056338028169,0.0211267605633802,0.2353059533672624,0.0237039170449378,4.666666666666667,0.0034085518436889,4.0
a2,5,3,21,9,0.028169014084507,0.0176056338028169,0.0105633802816901,0.2464912715731005,0.0097033144360479,3.0,0.0041713335434493,4.0
a3,7,3,21,10,0.0352112676056338,0.0246478873239436,0.0105633802816901,0.249122850984913,0.0118599356303003,3.333333333333333,0.0059205871277403,4.0
a4,2,5,12,19,0.0246478873239436,0.0070422535211267,0.0176056338028169,0.2172335799123679,0.0112156975311062,3.8,0.0033938469218002,4.0
a5,3,5,11,17,0.028169014084507,0.0105633802816901,0.0176056338028169,0.2304642670839854,0.0118300567776295,3.4,0.0034427921836817,4.0
a6,5,4,17,13,0.0316901408450704,0.0176056338028169,0.0140845070422535,0.2432789613440853,0.0127818829434586,3.25,0.0054794314097854,4.0
a7,4,3,22,12,0.0246478873239436,0.0140845070422535,0.0105633802816901,0.2524924116384511,0.0137239929341563,4.0,0.0064602335326195,4.0
a8,7,4,23,15,0.0387323943661971,0.0246478873239436,0.0140845070422535,0.2631711320554908,0.0209810002556543,3.75,0.0075198794816554,4.0
a9,1,6,4,20,0.0246478873239436,0.0035211267605633,0.0211267605633802,0.1821822280462213,0.0026728944313118,3.333333333333333,0.000828202589081,4.0
a10,7,2,26,7,0.0316901408450704,0.0246478873239436,0.0070422535211267,0.2664263411104113,0.0082175561825337,3.5,0.007441673977953,4.0
a11,5,3,20,10,0.028169014084507,0.0176056338028169,0.0105633802816901,0.2552544070255627,0.0070759216394969,3.333333333333333,0.0054985176810857,4.0
a12,3,4,9,9,0.0246478873239436,0.0105633802816901,0.0140845070422535,0.2150645810345946,0.0045805934392206,2.25,0.0020612631912258,4.0
a13,6,3,12,12,0.0316901408450704,0.0211267605633802,0.0105633802816901,0.2413914521612433,0.0103800508151434,4.0,0.0041712394523621,4.0
a14,4,1,16,4,0.0176056338028169,0.0140845070422535,0.0035211267605633,0.2434905082669932,0.0065960667299826,4.0,0.0036825000474573,4.0
