argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a0,68,68,4357,4430,0.425,0.2125,0.2125,0.5594405594405595,0.0028269731304217,65.1470588235294,0.0032409886152185,64.17757009345794
a1,67,55,4273,3456,0.38125,0.209375,0.171875,0.5584642233856894,0.0022263560625855,62.83636363636364,0.0032298249169541,64.17757009345794
a2,66,66,4257,4220,0.4125,0.20625,0.20625,0.5574912891986062,0.0026326672305922,63.93939393939394,0.0031889832493387,64.17757009345794
a3,74,62,4944,3963,0.425,0.23125,0.19375,0.5653710247349824,0.0029121797460699,63.91935483870968,0.0036818720129795,64.17757009345794
a4,65,66,4154,4277,0.409375,0.203125,0.20625,0.5565217391304348,0.0027126672463937,64.8030303030303,0.003205901073194,64.17757009345794
a5,67,55,4352,3539,0.38125,0.209375,0.171875,0.5584642233856894,0.0023616325249197,64.34545454545454,0.0033659294736237,64.17757009345794
a6,61,66,3868,4237,0.396875,0.190625,0.20625,0.5526770293609672,0.0024380581449152,64.1969696969697,0.0029421536467647,64.17757009345794
a7,63,57,4060,3675,0.375,0.196875,0.178125,0.5545927209705372,0.0022095300127962,64.47368421052632,0.0030677261440146,64.17757009345794
a8,53,73,3416,4659,0.39375,0.165625,0.228125,0.545144804088586,0.002431388467583,63.821917808219176,0.0026900718349574,64.17757009345794
a9,58,63,3700,4076,0.378125,0.18125,0.196875,0.5498281786941581,0.0023000313978498,64.6984126984127,0.002865052188721,64.17757009345794
a10,64,65,4076,4213,0.403125,0.2,0.203125,0.5555555555555556,0.0026077910538135,64.81538461538462,0.003122197848099,64.17757009345794
a11,75,64,4827,4002,0.434375,0.234375,0.2,0.5663716814159292,0.0029196444212607,62.53125,0.0035445661477525,64.17757009345794
a12,69,59,4414,3803,0.4,0.215625,0.184375,0.5604203152364273,0.0024814998052003,64.45762711864407,0.0033531650187282,64.17757009345794
a13,62,69,3963,4435,0.409375,0.19375,0.215625,0.5536332179930796,0.0026488950372715,64.27536231884058,0.0030218177235566,64.17757009345794
a14,67,61,4245,3881,0.4,0.209375,0.190625,0.5584642233856894,0.0024818539901524,63.62295081967213,0.003186501529224,64.17757009345794
a15,67,61,4282,3955,0.4,0.209375,0.190625,0.5584642233856894,0.0024735512590424,64.8360655737705,0.0031725132016691,64.17757009345794
a16,61,71,3798,4590,0.4125,0.190625,0.221875,0.5526770293609672,0.0026732445029711,64.64788732394366,0.0029145397043232,64.17757009345794
a17,53,63,3404,3988,0.3625,0.165625,0.196875,0.545144804088586,0.0019982825551529,63.3015873015873,0.0026344081614659,64.17757009345794
a18,60,59,3857,3808,0.371875,0.1875,0.184375,0.5517241379310345,0.0021450180536585,64.54237288135593,0.0029258653884084,64.17757009345794
a19,75,69,4787,4477,0.45,0.234375,0.215625,0.5663716814159292,0.0031156171533415,64.8840579710145,0.0035322054193722,64.17757009345794
a20,62,62,3970,3994,0.3875,0.19375,0.19375,0.5536332179930796,0.0024289208025748,64.41935483870968,0.0030649942756274,64.17757009345794
a21,51,63,3302,3971,0.35625,0.159375,0.196875,0.5432937181663837,0.0019468778969592,63.03174603174603,0.0025554792307059,64.17757009345794
a22,59,64,3790,4160,0.384375,0.184375,0.2,0.5507745266781411,0.0023713195173573,65.0,0.0029803029249898,64.17757009345794
a23,65,63,4139,4084,0.4,0.203125,0.196875,0.5565217391304348,0.0025339811274375,64.82539682539682,0.0031789252874458,64.17757009345794
a24,58,80,3729,5049,0.43125,0.18125,0.25,0.5498281786941581,0.0029173938803979,63.1125,0.0028852574209251,64.17757009345794
a25,61,70,3883,4325,0.409375,0.190625,0.21875,0.5526770293609672,0.0026237875300334,61.785714285714285,0.0030031267329788,64.17757009345794
a26,70,72,4491,4617,0.44375,0.21875,0.225,0.5614035087719298,0.0031065272319966,64.125,0.0033630162365477,64.17757009345794
a27,66,72,4225,4701,0.43125,0.20625,0.225,0.5574912891986062,0.0028870470588289,65.29166666666667,0.0031847748671458,64.17757009345794
a28,71,63,4585,4100,0.41875,0.221875,0.196875,0.562390158172232,0.0027545502697285,65.07936507936508,0.0034235505791884,64.17757009345794
a29,58,72,3597,4634,0.40625,0.18125,0.225,0.5498281786941581,0.0024955021186933,64.36111111111111,0.0028027078019352,64.17757009345794
