argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a0,4,4,5,6,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.5,0.4305555555555555,1.5,0.151847448940934,1.5
a1,3,4,6,7,0.7777777777777777,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4166666666666666,1.75,0.1324847203504908,1.5
a2,1,1,3,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2857142857142857,0.0,4.0,0.0475443053318825,1.5
a3,2,1,4,1,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4183006535947712,0.0972222222222222,1.0,0.2307147248048215,1.5
a4,1,1,3,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2857142857142857,0.0,4.0,0.0475443053318825,1.5
a5,1,0,4,0,0.1111111111111111,0.1111111111111111,0.0,0.362962962962963,0.0,0.0,0.0516588583857627,1.5
a6,0,1,0,4,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,4.0,0.0193910365188396,1.5
a7,1,1,4,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3076923076923077,0.0,4.0,0.0516588583857627,1.5
a8,1,1,4,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3076923076923077,0.0,4.0,0.0516588583857627,1.5
a9,1,1,2,1,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2962962962962963,0.0,1.0,0.2154968835638607,1.5
