argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a77,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a76,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a79,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a78,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a80,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a82,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a81,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a84,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a83,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a86,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a85,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a88,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
a87,49,49,2543,2485,0.98,0.49,0.49,0.556930693069307,0.0005168151650579,50.71428571428572,0.0159521878134229,27.128712871287128
