argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank
a77,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a76,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a79,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a78,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a80,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a82,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a81,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a84,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a83,48,49,2499,2521,0.97,0.48,0.49,0.5514705882352942,0.0005125348622226752,51.44897959183673,0.01535403510658848
a86,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a85,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a88,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a87,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a89,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a91,66,61,2199,2136,1.27,0.66,0.61,0.6696428571428572,0.045386920535281004,35.01639344262295,0.021414839457392285
a90,64,61,2065,2133,1.25,0.64,0.61,0.6392045454545454,0.054952959400532554,34.967213114754095,0.020735917343812298
a93,66,56,2322,2147,1.22,0.66,0.56,0.6617647058823529,0.031277233204068645,38.339285714285715,0.021706846588501444
a92,63,59,2182,2118,1.22,0.63,0.59,0.625,0.042005490484003816,35.898305084745765,0.020157148368183577
a95,63,63,2067,2258,1.26,0.63,0.63,0.625,0.0482740954767286,35.84126984126984,0.020621972018795093
a94,65,67,2255,2275,1.32,0.65,0.67,0.6617647058823529,0.060225120032925204,33.95522388059702,0.020840220265370378
a97,65,61,2137,2142,1.26,0.65,0.61,0.6540697674418605,0.050670099899544026,35.114754098360656,0.02115701622799062
a96,66,55,2262,2111,1.21,0.66,0.55,0.6696428571428572,0.035201144674836704,38.38181818181818,0.021550374014191485
a11,2,9,129,551,0.11,0.02,0.09,0.3629032258064516,0.00010691834846071025,61.22222222222222,0.002685837619672904
a99,65,66,2200,2383,1.31,0.65,0.66,0.646551724137931,0.051495324316745014,36.10606060606061,0.02110232983870171
a10,4,9,259,549,0.13,0.04,0.09,0.375,0.0002208501382198747,61.0,0.003288651285769809
a98,68,61,2271,2127,1.29,0.68,0.61,0.6859756097560976,0.045247875849701684,34.868852459016395,0.02213672403838458
a13,7,9,455,551,0.16,0.07,0.09,0.390625,0.00034311164821626837,61.22222222222222,0.004164242606548967
a12,6,10,391,610,0.16,0.06,0.1,0.390625,0.0003268050732052126,61.0,0.00385574087029249
a15,7,10,456,610,0.17,0.07,0.1,0.390625,0.00033866279806220165,61.0,0.004142028983228616
a14,5,9,326,547,0.14,0.05,0.09,0.3800675675675676,0.00023046373863231973,60.77777777777778,0.0035782760307914467
a17,5,9,329,543,0.14,0.05,0.09,0.38527397260273977,0.00021757272660761842,60.333333333333336,0.0035747382369353325
a16,4,8,262,489,0.12,0.04,0.08,0.37751677852348997,0.00018587555075529302,61.125,0.0032638382947373914
a19,3,9,191,554,0.12,0.03,0.09,0.3700657894736842,0.0001720176510520067,61.55555555555556,0.0029655762859108576
a18,7,9,453,551,0.16,0.07,0.09,0.38527397260273977,0.0003126211655249835,61.22222222222222,0.004129841400381626
a20,1,10,64,610,0.11,0.01,0.1,0.3472222222222222,6.056238539689918e-05,61.0,0.0023909655623251137
a22,4,9,262,543,0.13,0.04,0.09,0.37751677852348997,0.00019313346135591024,60.333333333333336,0.0032821143937552737
a21,9,8,587,494,0.17,0.09,0.08,0.39893617021276595,0.00036918625111874117,61.75,0.00477147911657043
a24,2,9,131,554,0.11,0.02,0.09,0.3629032258064516,7.329982020395256e-05,61.55555555555556,0.002672254789535195
a23,6,6,394,360,0.12,0.06,0.06,0.38527397260273977,0.00015522691760742985,60.0,0.003928840435274662
c,4,5,202,240,0.09,0.04,0.05,0.375,5.25536139148841e-05,48.0,0.003550379056682199
a26,1,0,65,0,0.01,0.01,0.0,0.3587577639751553,0.0,0.0,0.002366401760046511
a25,3,0,196,0,0.03,0.03,0.0,0.37025641025641026,0.0,0.0,0.002936691633995873
a28,4,0,259,0,0.04,0.04,0.0,0.3850666666666667,0.0,0.0,0.003309416342406209
a27,5,0,321,0,0.05,0.05,0.0,0.3850666666666667,0.0,0.0,0.0035610699747153016
a29,5,0,322,0,0.05,0.05,0.0,0.3902702702702703,0.0,0.0,0.003563126695889829
a31,3,0,195,0,0.03,0.03,0.0,0.37751633986928107,0.0,0.0,0.0029923306617380668
a30,3,0,199,0,0.03,0.03,0.0,0.38251655629139075,0.0,0.0,0.003004464306777751
a33,5,0,328,0,0.05,0.05,0.0,0.38765100671140945,0.0,0.0,0.0035886074358204368
a32,2,0,131,0,0.02,0.02,0.0,0.36789808917197453,0.0,0.0,0.0026648649306436475
a35,2,0,128,0,0.02,0.02,0.0,0.36327044025157235,0.0,0.0,0.0026642408323612906
a34,3,0,194,0,0.03,0.03,0.0,0.38,0.0,0.0,0.0029778054251188065
a37,3,0,197,0,0.03,0.03,0.0,0.38,0.0,0.0,0.0029979784961619398
a36,5,0,328,0,0.05,0.05,0.0,0.3902702702702703,0.0,0.0,0.0035646516442927774
a39,1,0,65,0,0.01,0.01,0.0,0.3565432098765432,0.0,0.0,0.0023968369729336233
a38,6,0,394,0,0.06,0.06,0.0,0.39292517006802724,0.0,0.0,0.0038941900403535058
a40,2,0,128,0,0.02,0.02,0.0,0.36789808917197453,0.0,0.0,0.002644691859600514
a42,1,0,63,0,0.01,0.01,0.0,0.34795180722891567,0.0,0.0,0.002380255015139835
a41,4,0,261,0,0.04,0.04,0.0,0.3850666666666667,0.0,0.0,0.003248088067618816
a44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002101964915585833
a43,1,0,63,0,0.01,0.01,0.0,0.34795180722891567,0.0,0.0,0.0023924141290090645
a46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002101964915585833
a45,2,0,129,0,0.02,0.02,0.0,0.36789808917197453,0.0,0.0,0.0026627922656773393
a48,4,0,257,0,0.04,0.04,0.0,0.38,0.0,0.0,0.003264039456507994
a47,4,0,260,0,0.04,0.04,0.0,0.38251655629139075,0.0,0.0,0.0033123419447518717
a49,2,0,132,0,0.02,0.02,0.0,0.37264516129032255,0.0,0.0,0.0026994897129956254
a51,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a50,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
